model,dataset,F1,TP,PP,FP,FN,threshold,tp_scale,pp_scale,gt_nodes,gt_edges,gen_nodes,gen_edges
gpt-4.1-mini,150,0.2492339121552604,20.0,8.0,123.0,24.0,0.6,1.0,1.1,35.0,52.0,132.0,151.0
gpt-4.1-mini,151,0.2268694550063371,23.0,7.0,149.0,34.0,0.6,1.0,1.1,38.0,64.0,187.0,179.0
gpt-4.1-mini,152,0.260797342192691,27.0,8.0,146.0,32.0,0.6,1.0,1.1,33.0,67.0,210.0,181.0
gpt-4.1-mini,153,0.2866756393001346,18.0,6.0,82.0,24.0,0.6,1.0,1.1,27.0,48.0,80.0,106.0
gpt-4o,100,0.2963166575041231,22.0,9.0,102.0,26.0,0.6,1.0,1.1,36.0,57.0,111.0,133.0
gpt-4o,101,0.1915227629513343,10.0,4.0,93.0,10.0,0.6,1.0,1.1,14.0,24.0,92.0,107.0
gpt-4o,102,0.2051431911163062,17.0,1.0,118.0,18.0,0.6,1.0,1.1,15.0,36.0,97.0,136.0
gpt-4o,103,0.2191235059760956,11.0,5.0,86.0,12.0,0.6,1.0,1.1,13.0,28.0,61.0,102.0
gpt-4o,104,0.2753623188405797,10.0,6.0,62.0,8.0,0.6,1.0,1.1,14.0,24.0,47.0,78.0
gpt-4o,105,0.1782553729456384,13.0,2.0,116.0,14.0,0.6,1.0,1.1,14.0,29.0,104.0,131.0
gpt-4o,107,0.4154370034052214,30.0,12.0,48.0,55.0,0.6,1.0,1.1,45.0,97.0,117.0,90.0
gpt-4o,108,0.1673212882953653,9.0,3.0,90.0,16.0,0.6,1.0,1.1,20.0,28.0,91.0,102.0
gpt-4o,109,0.24795234549516,15.0,3.0,73.0,28.0,0.6,1.0,1.1,21.0,46.0,83.0,91.0
gpt-4o,110,0.2486851990984222,16.0,1.0,80.0,20.0,0.6,1.0,1.1,17.0,37.0,56.0,97.0
gpt-4o,111,0.2238033635187581,14.0,6.0,104.0,16.0,0.6,1.0,1.1,25.0,36.0,96.0,124.0
gpt-4o,112,0.1405680990531682,8.0,3.0,106.0,12.0,0.6,1.0,1.1,21.0,23.0,108.0,117.0
gpt-4o,113,0.1825775656324582,12.0,6.0,124.0,13.0,0.6,1.0,1.1,18.0,31.0,166.0,142.0
gpt-4o,114,0.2204770215241419,14.0,9.0,112.0,22.0,0.6,1.0,1.1,29.0,45.0,100.0,135.0
